status	path	lb_added	main_removed	decision	basis
M	.gitignore	1	3	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	Cargo.lock	855	15	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	Cargo.toml	36	20	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
A	MIGRATION_MANIFEST.md	397	0	SKIP	main-lb doc; main keeps its own docs (main-only per strategy)
A	MIGRATION_STATUS.md	155	0	SKIP	main-lb doc; main keeps its own docs (main-only per strategy)
A	README.md	35	0	SKIP	main-lb doc; main keeps its own docs (main-only per strategy)
D	scripts/migration_status.py	0	62	KEEP	main-only file (complete, tested content kept verbatim)
A	src/bin/compare_elevator_dispatch.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/compare_external_fel_models.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/compare_traffic_engines.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_backpropagation.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_build_site.rs	124	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_calculus.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_computer_network.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_contact_seir.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_convolution.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_court_mdp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_dc_motor.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_dc_motor_anim.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_dispatch_combo.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_electric_circuit.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_elevator.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_elevator_highrise.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_empirical_control.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_empirical_control_report.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_epidemic.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_epidemic_improved.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_factmachine.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_factmachine_markets.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_factory_floor_track3t.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_fibonacci_recursion.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_from_json.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_genetic_tsp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_hazard_function_survival_analysis.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_incremental_lp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_inventory_mdp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_ip_mip_des.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_knapsack_problem.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_lp_des.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_lp_factory.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_markov.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_mdp_lp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_milp_bnb.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_monte_carlo_sim.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_network_mutex.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_neural_net.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_newsvendor.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_observability_controllability.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_observability_controllability_anim.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_optimization_as_des.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_plumbing_flow.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_shortest_path.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_shortest_path_algo.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_signal_processing.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_simulated_annealing.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_snowball.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_soccer_rotation.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_stochastic_flow_mdp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_stochastic_lp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_stochastic_sde.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_stochastic_sde_report.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_temp_control.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_temp_control_anim.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_traffic.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_two_disease.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_wind_mppt.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/main_wind_mppt_anim.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/per_individual_vs_fel.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/replicate.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
D	src/bin/run_all_simulations.rs	0	17	KEEP	main-only file (complete, tested content kept verbatim)
A	src/bin/run_external_module.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/steady_state.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/stepsize_sweep.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_backpropagation.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_calculus.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_computer_network.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_contact_vs_meanfield.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_convolution.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_court_mdp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_dispatch.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_electric_circuit.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_elevator.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_external_fel_models.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_factmachine.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_factmachine_math.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_genetic_tsp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_incremental_lp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_ip_mip_external.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_lp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_milp_bnb.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_neural_network.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_newsvendor.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_optimization_as_des.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_references.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_shortest_path.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_simulated_annealing.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_smart_traffic_external.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_soccer.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_stochastic_lp.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_temp_control.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_two_disease.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/bin/validate_with_externals.rs	20	0	ADOPT-idea	rewrote as thin wrapper binary delegating to library run()
A	src/core.rs	286	0	SKIP	main-lb foundation module; main uses its own foundation
M	src/des/abstract/abstract.rs	132	335	KEEP-main	reviewed vs main-lb: main-lb is an alt scaffold (serde/Result/crate::core); no safe additive idea
M	src/des/abstract/composers.rs	16	112	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/abstract/interfaces.rs	86	139	KEEP-main	reviewed vs main-lb: main-lb is an alt scaffold (serde/Result/crate::core); no safe additive idea
M	src/des/abstract/mod.rs	7	5	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/abstract/test.rs	16	14	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/frame_recorder.rs	10	425	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/html_player.rs	167	377	KEEP-main	reviewed vs main-lb: main-lb is an alt scaffold (serde/Result/crate::core); no safe additive idea
M	src/des/animation/mod.rs	7	4	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/render.rs	10	89	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/run_report.rs	10	402	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/calculus_scene.rs	10	310	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/computer_network_scene.rs	10	932	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/contact_seir_scene.rs	10	357	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/dc_motor_scene.rs	10	334	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/elevator_scene.rs	10	543	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/factmachine_scene.rs	10	502	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/genetic_tsp_scene.rs	10	527	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/incremental_lp_scene.rs	10	658	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/mod.rs	5	2	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/neural_network_scene.rs	10	474	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/newsvendor_scene.rs	10	379	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/obs_ctrl_scene.rs	10	343	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/shortest_path_scene.rs	10	392	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/soccer_ipmip_solver_scene.rs	10	370	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
M	src/des/animation/scenes/soccer_scene.rs	10	499	KEEP-main	main-lb version is a stub / alt-phrasing of same logic
